Substation Name,Nominal Voltage (kV),Primary Group,Grid Group,Firm Capacity (MVA),Maximum Load (MVA),Minimum Load (MVA),Generation Connected (MW),Generation Contracted (MW),33kV Overall Category,Overall Category,33kV Generation Capacity,33kV Wider Constraints,HV Reverse Power Flow,HV Generation Capacity,HV Fault Level,HV Wider Constraints,District,X,Y
CHAPELFORD,33/11,BOULEVARD T1 / CHAPELFORD T1 / HAWLEYS LA T1 / WESTBROOK T1 / WINWICK QUAY T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,37.5,20.79,5.2,1.22,0.0,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,357188.237,389306.558
WESTBROOK,33/11,BOULEVARD T1 / CHAPELFORD T1 / HAWLEYS LA T1 / WESTBROOK T1 / WINWICK QUAY T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,37.5,20.79,5.2,1.22,0.0,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,358189.696,390216.96
WINWICK QUAY,33/11,BOULEVARD T1 / CHAPELFORD T1 / HAWLEYS LA T1 / WESTBROOK T1 / WINWICK QUAY T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,37.5,20.79,5.2,1.22,0.0,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,360287.0,391423.0
BOWATERS CONTAINERS,33/11,BOWATER CONTAINERS T1 / ELLESMERE PORT LOCAL T1 / HH ROBERTSONS T1 / MOBIL OIL (E PORT) T1 / WHITBY T1,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,25.5,18.22,4.56,2.5,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,339183.36,378209.248
ELLESMERE PORT,33/11,BOWATER CONTAINERS T1 / ELLESMERE PORT LOCAL T1 / HH ROBERTSONS T1 / MOBIL OIL (E PORT) T1 / WHITBY T1,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,25.5,18.22,4.56,2.5,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,341539.332,376288.31
WHITBY MAIN,33/11,BOWATER CONTAINERS T1 / ELLESMERE PORT LOCAL T1 / HH ROBERTSONS T1 / MOBIL OIL (E PORT) T1 / WHITBY T1,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,25.5,18.22,4.56,2.5,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,339454.48,375547.421
DUCHY ROAD,33/11,BR STATION T1 / DUCHY RD T1 / ELECTRA WAY T1 / MIDLAND ROLLMAKERS T1A / NORTH WESTERN MILLS T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,37.5,24.27,6.07,1.01,0.24,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,372381.586,353936.726
BRITISH ALUMINIUM LATCHFRD,33/11,BRITISH ALUMINIUM LATCHFORD T1 / GREENHALL WHITLEY T1 / LATCHFORD T1 / LATCHFORD T2 / THAMES BOARD MILL T1,SANKEY BRIDGES GT3 / WARRINGTON GT5,30.0,17.8,4.45,0.2,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Mid Cheshire,363749.088,387463.552
BRITISH OXYGEN,33/6.6,BRITISH OXYGEN T1 / WINDLEHURST T1,RAVENHEAD G1A1 / ST HELENS GT2B / WINDLE GT1,9.1,6.17,1.54,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,351362.528,397225.92
WINDLEHURST,33/6.6,BRITISH OXYGEN T1 / WINDLEHURST T1,RAVENHEAD G1A1 / ST HELENS GT2B / WINDLE GT1,9.1,6.17,1.54,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,350263.616,396672.0
CROXTETH,33/11,BROADGREEN T1 / CROXTETH T1 / EAST PRESCOT RD (FINCH LA) T1 / KNOTTY ASH T1 / LEYFIELD RD T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,37.5,24.89,6.22,3.5,0.0,RED,RED,Green,Red,Red,Green,Red,Amber,Merseyside,341258.912,393517.664
